idx,network_snr,total_flux_jy,r_ring_muas,status,cum_wall_s,n_shards,n_posterior,L_effective
0,73.5272,1.05237,15.491,ok,552.0,1,881,100
1,31.2804,0.49105,15.612,ok,256.0,1,1052,100
2,201.1588,3.61923,23.95,timeout_capped,1500.07,2,0,0
3,149.2457,2.08184,8.76,ok,627.0,1,885,100
4,4.7988,0.07703,20.352,ok,64.0,1,722,100
5,334.137,5.81557,19.533,ok,533.61,2,999,100
6,7.2257,0.0957,9.141,ok,45.22,1,690,100
7,57.3193,0.77017,9.522,ok,223.72,2,794,100
8,40.1598,0.70957,24.456,ok,123.4,1,1179,100
9,16.3169,0.22991,16.182,ok,128.32,1,1285,100
10,150.0613,2.15667,8.749,ok,1466.81,8,1102,100
11,3.2829,0.06178,23.469,ok,49.86,1,478,100
12,88.1405,1.41452,13.437,ok,367.42,3,1019,100
13,585.6581,9.93628,24.805,ok,863.89,5,988,100
14,13.1743,0.18897,9.393,ok,72.04,1,734,100
15,111.3337,1.6795,12.105,ok,426.67,3,919,100
16,225.8807,3.48777,11.19,ok,558.88,3,970,100
17,3.3853,0.06073,21.998,ok,55.69,1,702,100
18,3.9542,0.05637,20.466,ok,53.86,1,644,100
19,5.34,0.09826,23.699,ok,58.89,1,799,100
20,105.7796,1.51754,16.915,ok,392.3,3,938,100
21,4.9953,0.09231,18.084,ok,47.91,1,647,100
22,115.9877,1.65646,11.119,ok,395.6,3,854,100
23,253.7428,3.91166,21.836,ok,728.17,5,1005,100
24,37.0875,0.56339,21.66,ok,236.09,2,855,100
25,583.4811,9.51727,15.615,timeout_capped,1500.0,10,0,0
26,27.9982,0.51518,21.714,ok,157.63,1,947,100
27,546.4924,9.57583,20.159,ok,1286.47,9,1458,100
28,70.9773,1.15441,16.264,ok,294.75,2,871,100
29,3.8494,0.06583,17.044,ok,54.61,1,574,100
30,28.623,0.44861,27.579,ok,189.76,2,877,100
31,66.79,1.05856,12.004,ok,204.8,2,787,100
32,29.5708,0.38739,11.172,ok,312.36,3,946,100
33,7.6373,0.12631,26.413,ok,66.45,1,965,100
34,181.3296,3.00274,18.218,ok,443.47,3,911,100
35,349.2884,4.98315,9.246,timeout_capped,1500.0,10,0,0
36,10.1866,0.1451,16.829,ok,68.21,1,1129,100
37,791.9294,10.60115,14.184,timeout_capped,1500.0,10,0,0
38,52.779,0.85563,14.979,ok,643.64,5,1039,100
39,87.119,1.30076,9.916,ok,257.46,2,859,100
40,178.0205,2.87232,18.348,ok,566.99,4,988,100
41,12.7108,0.2087,14.058,ok,87.98,1,757,100
42,40.9689,0.6869,16.012,ok,229.39,2,1073,100
43,4.3111,0.07073,16.913,ok,53.08,1,928,100
44,9.3898,0.1674,22.369,ok,77.86,1,939,100
45,47.549,0.7159,9.913,ok,178.26,2,895,100
46,6.422,0.11448,19.188,ok,60.69,1,717,100
47,378.4979,5.87823,14.91,ok,588.32,4,924,100
48,408.5654,7.45834,26.97,ok,681.28,5,896,100
49,59.6536,0.98153,14.553,ok,276.22,2,879,100
50,244.668,4.39058,25.27,ok,495.85,4,980,100
51,16.8351,0.24937,10.06,ok,114.67,1,804,100
52,8.542,0.12213,18.188,ok,73.9,1,868,100
53,13.4729,0.19855,9.367,ok,92.84,1,786,100
54,242.2535,3.5661,12.541,ok,600.42,4,921,100
55,386.7152,6.88528,21.105,ok,537.95,4,952,100
56,197.4114,2.63275,13.738,ok,548.93,4,882,100
57,13.1477,0.21569,17.212,ok,74.18,1,976,100
58,7.5776,0.11788,13.136,ok,69.27,1,833,100
59,37.9459,0.49635,10.515,ok,258.13,2,915,100
60,4.2289,0.06635,12.207,ok,53.7,1,1053,100
61,27.6487,0.44022,17.526,ok,115.57,1,833,100
62,30.3214,0.4924,14.091,ok,176.24,2,982,100
63,28.1469,0.45751,13.625,ok,195.55,2,1007,100
64,20.033,0.39748,27.826,ok,103.44,1,803,100
65,18.8579,0.27565,9.839,ok,135.79,1,861,100
66,4.5071,0.07327,16.274,ok,64.39,1,866,100
67,43.2754,0.66459,17.358,ok,236.55,2,1039,100
68,572.829,8.48857,10.157,timeout_capped,1500.0,9,0,0
69,7.4029,0.1182,19.075,ok,83.61,1,968,100
70,21.3498,0.38935,25.354,ok,120.33,1,895,100
71,40.5803,0.79827,28.47,ok,176.62,2,882,100
72,180.7182,2.61781,19.556,ok,610.19,5,951,100
73,250.1763,4.41332,27.567,timeout_capped,1500.05,10,0,0
74,20.3255,0.30081,11.975,ok,93.04,1,838,100
75,34.4606,0.47272,12.162,ok,136.1,1,938,100
76,11.1608,0.16312,17.761,ok,94.68,1,850,100
77,201.7627,3.75153,24.126,ok,393.78,3,962,100
78,41.9768,0.62672,24.665,ok,186.55,2,816,100
79,5.7338,0.09177,13.166,ok,51.0,1,775,100
80,397.7762,5.7632,9.126,ok,1031.52,7,904,100
81,12.5356,0.20869,16.708,ok,91.73,1,833,100
82,307.0921,5.63148,24.262,ok,661.53,5,982,100
83,9.0357,0.14622,14.875,ok,69.75,1,722,100
84,32.281,0.49233,11.955,ok,173.26,2,927,100
85,19.6497,0.30565,13.426,ok,113.32,1,991,100
86,5.3183,0.0766,19.53,ok,47.63,1,631,100
87,259.0168,3.71667,23.318,ok,586.1,4,862,100
88,140.4094,2.52305,27.151,ok,547.45,4,903,100
89,10.1606,0.17994,23.902,ok,66.5,1,873,100
90,54.473,0.85962,14.594,ok,284.74,2,992,100
91,8.6885,0.15158,18.719,ok,78.64,1,792,100
92,212.0149,3.23067,11.294,ok,400.63,3,876,100
93,10.7648,0.21134,27.884,ok,78.58,1,904,100
94,247.2877,4.34412,19.676,ok,380.63,3,1014,100
95,219.9823,2.93898,9.913,ok,371.84,3,827,100
96,102.3365,1.68546,19.488,ok,398.05,3,962,100
97,54.307,1.04555,29.608,ok,229.85,2,1038,100
98,5.0324,0.09297,26.358,ok,49.41,1,482,100
99,48.9029,0.62324,11.543,ok,573.68,4,730,100
